rank	gene	category	unique_id	filename	plddt_mean	frac_plddt70	n_res
1	ENSG00000101843	NIC	B090388	rank01_ENSG00000101843_NIC_B090388.pdb	97.32	0.9886	176
1	ENSG00000101843	FSM	B075166	rank01_ENSG00000101843_FSM_B075166.pdb	97.24	0.9867	226
2	ENSG00000147687	NIC	B060317	rank02_ENSG00000147687_NIC_B060317.pdb	96.50	0.9964	281
2	ENSG00000147687	FSM	B056395	rank02_ENSG00000147687_FSM_B056395.pdb	96.95	0.9933	297
3	ENSG00000291237	NIC	B090382	rank03_ENSG00000291237_NIC_B090382.pdb	96.47	1.0000	176
3	ENSG00000291237	FSM	B076371	rank03_ENSG00000291237_FSM_B076371.pdb	92.72	0.8964	222
4	ENSG00000151552	NIC	B086344	rank04_ENSG00000151552_NIC_B086344.pdb	96.43	0.9841	189
4	ENSG00000151552	FSM	B070002	rank04_ENSG00000151552_FSM_B070002.pdb	95.28	0.9590	244
5	ENSG00000177239	NIC	B036267	rank05_ENSG00000177239_NIC_B036267.pdb	96.32	0.9950	402
5	ENSG00000177239	FSM	B013152	rank05_ENSG00000177239_FSM_B013152.pdb	78.69	0.7200	650
6	ENSG00000115275	NIC	B052039	rank06_ENSG00000115275_NIC_B052039.pdb	96.21	1.0000	316
6	ENSG00000115275	FSM	B057103	rank06_ENSG00000115275_FSM_B057103.pdb	78.47	0.7517	294
7	ENSG00000151176	NIC	B051150	rank07_ENSG00000151176_NIC_B051150.pdb	96.10	1.0000	320
7	ENSG00000151176	FSM	B028514	rank07_ENSG00000151176_FSM_B028514.pdb	94.40	0.9716	458
8	ENSG00000070495	NIC	B052486	rank08_ENSG00000070495_NIC_B052486.pdb	96.09	1.0000	314
8	ENSG00000070495	FSM	B057573	rank08_ENSG00000070495_FSM_B057573.pdb	81.13	0.7877	292
9	ENSG00000143627	NIC	B070942	rank09_ENSG00000143627_NIC_B070942.pdb	96.03	1.0000	241
9	ENSG00000143627	FSM	B020094	rank09_ENSG00000143627_FSM_B020094.pdb	91.29	0.9503	543
10	ENSG00000126790	NIC	B088184	rank10_ENSG00000126790_NIC_B088184.pdb	95.98	1.0000	183
10	ENSG00000126790	FSM	B044224	rank10_ENSG00000126790_FSM_B044224.pdb	95.39	0.9774	354
11	ENSG00000196123	NIC	B055686	rank11_ENSG00000196123_NIC_B055686.pdb	95.93	1.0000	300
11	ENSG00000196123	FSM	B078095	rank11_ENSG00000196123_FSM_B078095.pdb	90.74	0.9259	216
12	ENSG00000006459	NIC	B061333	rank12_ENSG00000006459_NIC_B061333.pdb	95.92	0.9964	277
12	ENSG00000006459	FSM	B104314	rank12_ENSG00000006459_FSM_B104314.pdb	64.13	0.5601	491
13	ENSG00000205659	NIC	B106899	rank13_ENSG00000205659_NIC_B106899.pdb	95.81	0.9935	459
13	ENSG00000205659	FSM	B097846	rank13_ENSG00000205659_FSM_B097846.pdb	61.33	0.4281	647
14	ENSG00000111640	NIC	B090325	rank14_ENSG00000111640_NIC_B090325.pdb	95.80	0.9886	176
14	ENSG00000111640	FSM	B057086	rank14_ENSG00000111640_FSM_B057086.pdb	87.20	0.8673	294
15	ENSG00000135002	NIC	B107755	rank15_ENSG00000135002_NIC_B107755.pdb	95.77	0.9800	450
15	ENSG00000135002	FSM	B096671	rank15_ENSG00000135002_FSM_B096671.pdb	85.50	0.8717	709
16	ENSG00000156017	NIC	B065229	rank16_ENSG00000156017_NIC_B065229.pdb	95.73	0.9962	262
16	ENSG00000156017	FSM	B048992	rank16_ENSG00000156017_FSM_B048992.pdb	93.83	0.9485	330
17	ENSG00000023191	NIC	B031520	rank17_ENSG00000023191_NIC_B031520.pdb	95.64	0.9908	435
17	ENSG00000023191	FSM	B077574	rank17_ENSG00000023191_FSM_B077574.pdb	96.67	1.0000	218
18	ENSG00000112425	NIC	B090105	rank18_ENSG00000112425_NIC_B090105.pdb	95.62	0.9774	177
18	ENSG00000112425	FSM	B085039	rank18_ENSG00000112425_FSM_B085039.pdb	94.90	0.9637	193
19	ENSG00000065150	NIC	B086671	rank19_ENSG00000065150_NIC_B086671.pdb	95.60	1.0000	188
19	ENSG00000065150	FSM	B012086	rank19_ENSG00000065150_FSM_B012086.pdb	91.21	0.9554	672
20	ENSG00000167315	NIC	B061556	rank20_ENSG00000167315_NIC_B061556.pdb	95.55	1.0000	276
20	ENSG00000167315	FSM	B037450	rank20_ENSG00000167315_FSM_B037450.pdb	96.99	0.9949	394
