rank	gene_id	FSM_file	NIC_file	output_png
01	ENSG00000101843	rank01_ENSG00000101843_FSM_B075166.pdb	rank01_ENSG00000101843_NIC_B090388.pdb	rank01_ENSG00000101843_NIC_B090388_vs_FSM_B075166_overlay.png
02	ENSG00000147687	rank02_ENSG00000147687_FSM_B056395.pdb	rank02_ENSG00000147687_NIC_B060317.pdb	rank02_ENSG00000147687_NIC_B060317_vs_FSM_B056395_overlay.png
03	ENSG00000291237	rank03_ENSG00000291237_FSM_B076371.pdb	rank03_ENSG00000291237_NIC_B090382.pdb	rank03_ENSG00000291237_NIC_B090382_vs_FSM_B076371_overlay.png
04	ENSG00000151552	rank04_ENSG00000151552_FSM_B070002.pdb	rank04_ENSG00000151552_NIC_B086344.pdb	rank04_ENSG00000151552_NIC_B086344_vs_FSM_B070002_overlay.png
05	ENSG00000177239	rank05_ENSG00000177239_FSM_B013152.pdb	rank05_ENSG00000177239_NIC_B036267.pdb	rank05_ENSG00000177239_NIC_B036267_vs_FSM_B013152_overlay.png
06	ENSG00000115275	rank06_ENSG00000115275_FSM_B057103.pdb	rank06_ENSG00000115275_NIC_B052039.pdb	rank06_ENSG00000115275_NIC_B052039_vs_FSM_B057103_overlay.png
07	ENSG00000151176	rank07_ENSG00000151176_FSM_B028514.pdb	rank07_ENSG00000151176_NIC_B051150.pdb	rank07_ENSG00000151176_NIC_B051150_vs_FSM_B028514_overlay.png
08	ENSG00000070495	rank08_ENSG00000070495_FSM_B057573.pdb	rank08_ENSG00000070495_NIC_B052486.pdb	rank08_ENSG00000070495_NIC_B052486_vs_FSM_B057573_overlay.png
09	ENSG00000143627	rank09_ENSG00000143627_FSM_B020094.pdb	rank09_ENSG00000143627_NIC_B070942.pdb	rank09_ENSG00000143627_NIC_B070942_vs_FSM_B020094_overlay.png
10	ENSG00000126790	rank10_ENSG00000126790_FSM_B044224.pdb	rank10_ENSG00000126790_NIC_B088184.pdb	rank10_ENSG00000126790_NIC_B088184_vs_FSM_B044224_overlay.png
11	ENSG00000196123	rank11_ENSG00000196123_FSM_B078095.pdb	rank11_ENSG00000196123_NIC_B055686.pdb	rank11_ENSG00000196123_NIC_B055686_vs_FSM_B078095_overlay.png
12	ENSG00000006459	rank12_ENSG00000006459_FSM_B104314.pdb	rank12_ENSG00000006459_NIC_B061333.pdb	rank12_ENSG00000006459_NIC_B061333_vs_FSM_B104314_overlay.png
13	ENSG00000205659	rank13_ENSG00000205659_FSM_B097846.pdb	rank13_ENSG00000205659_NIC_B106899.pdb	rank13_ENSG00000205659_NIC_B106899_vs_FSM_B097846_overlay.png
14	ENSG00000111640	rank14_ENSG00000111640_FSM_B057086.pdb	rank14_ENSG00000111640_NIC_B090325.pdb	rank14_ENSG00000111640_NIC_B090325_vs_FSM_B057086_overlay.png
15	ENSG00000135002	rank15_ENSG00000135002_FSM_B096671.pdb	rank15_ENSG00000135002_NIC_B107755.pdb	rank15_ENSG00000135002_NIC_B107755_vs_FSM_B096671_overlay.png
16	ENSG00000156017	rank16_ENSG00000156017_FSM_B048992.pdb	rank16_ENSG00000156017_NIC_B065229.pdb	rank16_ENSG00000156017_NIC_B065229_vs_FSM_B048992_overlay.png
17	ENSG00000023191	rank17_ENSG00000023191_FSM_B077574.pdb	rank17_ENSG00000023191_NIC_B031520.pdb	rank17_ENSG00000023191_NIC_B031520_vs_FSM_B077574_overlay.png
18	ENSG00000112425	rank18_ENSG00000112425_FSM_B085039.pdb	rank18_ENSG00000112425_NIC_B090105.pdb	rank18_ENSG00000112425_NIC_B090105_vs_FSM_B085039_overlay.png
19	ENSG00000065150	rank19_ENSG00000065150_FSM_B012086.pdb	rank19_ENSG00000065150_NIC_B086671.pdb	rank19_ENSG00000065150_NIC_B086671_vs_FSM_B012086_overlay.png
20	ENSG00000167315	rank20_ENSG00000167315_FSM_B037450.pdb	rank20_ENSG00000167315_NIC_B061556.pdb	rank20_ENSG00000167315_NIC_B061556_vs_FSM_B037450_overlay.png
