unique_id	gene	category	length	cluster
B089700	ENSG00000172172	FSM	178	B097050
B075858	ENSG00000172172	NIC	224	B075858
B087461	ENSG00000172172	NNC	186	B097050
B081343	ENSG00000112679	FSM	205	B089184
B094661	ENSG00000112679	NIC	162	B094661
B068227	ENSG00000112679	NNC	251	B068227
B070005	ENSG00000026652	FSM	244	B080420
B050332	ENSG00000026652	NIC	324	B040299
B060933	ENSG00000026652	NNC	279	B060933
B053999	ENSG00000100243	FSM	307	B061170
B077314	ENSG00000100243	NIC	219	B077314
B055606	ENSG00000100243	NNC	301	B061170
B015882	ENSG00000169683	FSM	602	B015882
B042425	ENSG00000169683	NIC	364	B037375
B062150	ENSG00000169683	NNC	274	B074209
B003860	ENSG00000167110	FSM	975	B004221
B104446	ENSG00000167110	NIC	129	B104446
B057272	ENSG00000167110	NNC	294	B057272
B030275	ENSG00000112874	FSM	444	B030275
B080169	ENSG00000112874	NIC	209	B080169
B029988	ENSG00000112874	NNC	447	B030275
B058045	ENSG00000107175	FSM	290	B049817
B083234	ENSG00000107175	NIC	199	B083234
B063485	ENSG00000107175	NNC	269	B063485
B055642	ENSG00000099326	FSM	300	B055642
B062250	ENSG00000099326	NIC	273	B062250
B046860	ENSG00000099326	NNC	341	B056130
B067262	ENSG00000136826	FSM	254	B071358
B070969	ENSG00000136826	NIC	241	B071358
B034223	ENSG00000136826	NNC	416	B032247
B103467	ENSG00000197980	FSM	132	B103467
B079570	ENSG00000197980	NIC	211	B085555
B078298	ENSG00000197980	NNC	216	B078298
B111069	ENSG00000182796	FSM	105	B111069
B098573	ENSG00000182796	NIC	149	B099291
B101973	ENSG00000182796	NNC	138	B101973
B010941	ENSG00000119778	FSM	698	B015069
B053608	ENSG00000119778	NIC	309	B043579
B062402	ENSG00000119778	NNC	273	B062402
B059764	ENSG00000197894	FSM	283	B059964
B053865	ENSG00000197894	NIC	308	B047030
B093575	ENSG00000197894	NNC	166	B093575
B081337	ENSG00000164109	FSM	205	B088676
B096454	ENSG00000164109	NIC	156	B101320
B094200	ENSG00000164109	NNC	164	B094200
B089683	ENSG00000173418	FSM	178	B090360
B106558	ENSG00000173418	NIC	121	B106558
B096013	ENSG00000173418	NNC	158	B096013
B092829	ENSG00000083223	FSM	168	B092829
B045963	ENSG00000083223	NIC	345	B045963
B071110	ENSG00000083223	NNC	241	B071110
B010658	ENSG00000262246	FSM	705	B006385
B104695	ENSG00000262246	NIC	128	B104695
B033491	ENSG00000262246	NNC	421	B022795
B049185	ENSG00000148300	FSM	329	B036010
B065231	ENSG00000148300	NIC	262	B070654
B052649	ENSG00000148300	NNC	314	B052649
B062691	ENSG00000125744	FSM	271	B062691
B060524	ENSG00000125744	NIC	280	B061503
B024757	ENSG00000125744	NNC	493	B026929
B054928	ENSG00000101076	FSM	303	B054928
B054480	ENSG00000101076	NIC	305	B054480
B042692	ENSG00000101076	NNC	363	B042692
B074573	ENSG00000196588	FSM	228	B082864
B094939	ENSG00000196588	NIC	161	B094939
B040225	ENSG00000196588	NNC	377	B040225
B006939	ENSG00000119844	FSM	818	B007484
B064341	ENSG00000119844	NIC	265	B064341
B066628	ENSG00000119844	NNC	257	B066628
B058306	ENSG00000172667	FSM	289	B068953
B069525	ENSG00000172667	NIC	246	B069525
B036779	ENSG00000172667	NNC	399	B036779
B038097	ENSG00000170743	FSM	390	B040015
B029433	ENSG00000170743	NIC	451	B029433
B045267	ENSG00000170743	NNC	349	B045309
B037004	ENSG00000117394	FSM	397	B029450
B052698	ENSG00000117394	NIC	313	B052698
B064962	ENSG00000117394	NNC	263	B064962
B082846	ENSG00000165271	FSM	200	B082846
B020462	ENSG00000165271	NIC	539	B014693
B112765	ENSG00000165271	NNC	100	B112765
B076035	ENSG00000162433	FSM	223	B088186
B083174	ENSG00000162433	NIC	199	B088186
B095639	ENSG00000162433	NNC	159	B095639
B040635	ENSG00000137221	FSM	374	B040635
B028452	ENSG00000137221	NIC	459	B028452
B076313	ENSG00000137221	NNC	223	B084927
B005530	ENSG00000177119	FSM	877	B006062
B038107	ENSG00000177119	NIC	390	B038801
B056064	ENSG00000177119	NNC	299	B056064
B063537	ENSG00000164082	FSM	268	B063537
B084211	ENSG00000164082	NIC	196	B084211
B070221	ENSG00000164082	NNC	244	B070221
B093963	ENSG00000167515	FSM	164	B102877
B109755	ENSG00000167515	NIC	110	B114117
B104992	ENSG00000167515	NNC	127	B104992
B054664	ENSG00000065057	FSM	304	B054664
B048812	ENSG00000065057	NIC	331	B048812
B079651	ENSG00000065057	NNC	211	B085583
B076071	ENSG00000161013	FSM	223	B071975
B039191	ENSG00000161013	NIC	383	B039191
B057951	ENSG00000161013	NNC	291	B071975
B047151	ENSG00000148218	FSM	339	B057887
B068139	ENSG00000148218	NIC	251	B075369
B063954	ENSG00000148218	NNC	267	B077347
B043505	ENSG00000183943	FSM	358	B058673
B071569	ENSG00000183943	NIC	239	B072682
B102858	ENSG00000183943	NNC	135	B102858
B055657	ENSG00000136243	FSM	300	B055657
B066832	ENSG00000136243	NIC	256	B066832
B063695	ENSG00000136243	NNC	268	B066937
B028195	ENSG00000184792	FSM	461	B028195
B027637	ENSG00000184792	NIC	466	B027637
B062411	ENSG00000184792	NNC	273	B062411
B098794	ENSG00000178585	FSM	148	B099938
B100689	ENSG00000178585	NIC	142	B101256
B107010	ENSG00000178585	NNC	120	B107010
B097846	ENSG00000205659	FSM	151	B102547
B106899	ENSG00000205659	NIC	120	B109896
B093919	ENSG00000205659	NNC	165	B093919
B065644	ENSG00000163945	FSM	260	B065644
B063321	ENSG00000163945	NIC	269	B063321
