unique_id	gene	category	length	cluster	msa_depth	plddt_mean	frac_plddt70	frac_plddt90	ptm	n_res
B000043	ENSG00000142197	FSM	2298	B000125	3142	66.34	0.6127	0.0061	0.47	2298
B000215	ENSG00000150760	FSM	1865	B000249	13342	77.40	0.7989	0.2944	0.544	1865
B000340	ENSG00000109111	FSM	1726	B000460	6025	70.68	0.6541	0.3436	0.664	1726
B000448	ENSG00000121210	FSM	1610	B000448	1462	50.85	0.3366	0.0689	0.461	1610
B000567	ENSG00000136731	FSM	1531	B000592	4793	83.87	0.8981	0.4180	0.742	1531
B000600	ENSG00000136628	FSM	1512	B000831	31867	78.95	0.8347	0.2718	0.457	1512
B000652	ENSG00000012817	FSM	1482	B000957	18298	69.19	0.6208	0.1579	0.484	1482
B000662	ENSG00000110514	FSM	1479	B000966	3909	65.28	0.5625	0.3563	0.687	1479
B000713	ENSG00000151240	FSM	1449	B000713	3428	80.69	0.8185	0.4686	0.707	1449
B000752	ENSG00000165392	FSM	1432	B000824	23267	66.43	0.6006	0.2500	0.521	1432
B000760	ENSG00000047188	FSM	1430	B000811	27014	75.21	0.7462	0.2741	0.643	1430
B000764	ENSG00000151458	FSM	1429	B001795	8303	72.53	0.7040	0.4122	0.497	1429
B000835	ENSG00000198932	FSM	1395	B000835	1037	40.19	0.1477	0.0495	0.409	1395
B000853	ENSG00000156802	FSM	1390	B001582	32685	57.12	0.4662	0.0424	0.571	1390
B000859	ENSG00000163808	FSM	1388	B000859	26928	70.52	0.6268	0.0922	0.418	1388
B000887	ENSG00000160949	FSM	1378	B000887	2976	75.33	0.7308	0.4848	0.512	1378
B000912	ENSG00000177409	NIC	1371	B000912	3756	80.39	0.8505	0.2684	0.679	1371
B000928	ENSG00000136068	NIC	1368	B001976	6324	81.55	0.8648	0.2895	0.34	1368
B001012	ENSG00000214944	FSM	1340	B000848	8543	58.12	0.4507	0.2530	0.476	1340
B001034	ENSG00000171105	FSM	1333	B001429	19959	76.41	0.7562	0.3061	0.388	1333
B001090	ENSG00000115548	FSM	1321	B001090	6285	66.57	0.5942	0.3384	0.575	1321
B001140	ENSG00000106772	NNC	1310	B001140	3142	66.38	0.6131	0.0070	0.47	2298
B001300	ENSG00000008294	FSM	1271	B001300	3486	61.93	0.4555	0.2777	0.541	1271
B001388	ENSG00000142185	NIC	1255	B001388	13342	78.33	0.8097	0.3501	0.555	1865
B001496	ENSG00000075391	FSM	1233	B001496	4756	62.41	0.5134	0.2668	0.575	1233
B001497	ENSG00000138802	FSM	1233	B001497	7150	69.04	0.6042	0.5134	0.692	1233
B001555	ENSG00000075292	NIC	1225	B001555	2468	46.29	0.2090	0.1061	0.412	1225
B001727	ENSG00000177311	FSM	1195	B001754	6025	70.70	0.6483	0.3441	0.663	1726
B001731	ENSG00000111602	FSM	1194	B001731	1462	50.85	0.3373	0.0689	0.46	1610
B001745	ENSG00000058085	FSM	1193	B002943	4793	83.82	0.8981	0.4174	0.742	1531
B001833	ENSG00000110497	FSM	1179	B003119	31867	80.07	0.8466	0.3082	0.462	1512
B001849	ENSG00000163349	FSM	1176	B001878	18298	70.14	0.6586	0.1896	0.495	1482
B001876	ENSG00000196878	FSM	1172	B001876	3909	65.28	0.5625	0.3563	0.687	1479
B001878	ENSG00000064393	FSM	1171	B001878	3428	80.68	0.8185	0.4665	0.708	1449
B001920	ENSG00000085552	FSM	1163	B002426	23267	66.33	0.6124	0.1913	0.531	1432
B001995	ENSG00000132953	FSM	1151	B004092	27014	76.66	0.7594	0.3392	0.638	1430
B002100	ENSG00000142733	FSM	1140	B003407	8303	72.86	0.7040	0.4360	0.499	1429
B002111	ENSG00000167258	FSM	1138	B000833	1037	40.24	0.1484	0.0495	0.409	1395
B002202	ENSG00000139613	FSM	1129	B003586	32685	57.06	0.4612	0.0223	0.545	1390
B002211	ENSG00000103932	FSM	1128	B002211	26928	72.02	0.6635	0.1117	0.458	1388
B002225	ENSG00000067177	FSM	1126	B002076	2976	75.31	0.7308	0.4855	0.512	1378
B002237	ENSG00000007516	FSM	1124	B002458	3756	80.39	0.8505	0.2684	0.679	1371
B002258	ENSG00000099821	FSM	1122	B004341	6324	81.55	0.8648	0.2895	0.34	1368
B002296	ENSG00000055163	FSM	1117	B002729	8543	58.12	0.4507	0.2530	0.476	1340
B002312	ENSG00000120278	FSM	1115	B002312	19959	76.41	0.7562	0.3061	0.388	1333
B002336	ENSG00000047849	NIC	1113	B004355	6285	66.57	0.5942	0.3384	0.575	1321
B002347	ENSG00000169180	FSM	1111	B002347	3486	61.93	0.4555	0.2777	0.541	1271
B002398	ENSG00000129250	FSM	1103	B002598	4756	62.41	0.5134	0.2668	0.575	1233
B002412	ENSG00000162434	FSM	1101	B004021	7150	69.04	0.6042	0.5134	0.692	1233
B002473	ENSG00000150995	NIC	1095	B002473	2468	46.29	0.2090	0.1061	0.412	1225
B002526	ENSG00000067596	FSM	1090	B002982	31962	67.68	0.6009	0.0486	0.615	1090
B002546	ENSG00000144290	FSM	1088	B003394	8415	71.34	0.7031	0.1443	0.611	1088
B002600	ENSG00000196497	FSM	1081	B002600	2223	88.00	0.9278	0.6605	0.807	1081
B002650	ENSG00000013503	FSM	1075	B003692	17774	87.32	0.9498	0.5098	0.798	1075
B002664	ENSG00000008083	FSM	1074	B002664	4765	63.06	0.5056	0.3883	0.626	1074
B002666	ENSG00000112902	FSM	1074	B004758	28508	77.30	0.7449	0.3734	0.585	1074
B002733	ENSG00000012817	NNC	1068	B002733	17635	76.12	0.7743	0.2360	0.61	1068
B002769	ENSG00000131899	FSM	1064	B004230	3179	78.77	0.7594	0.5592	0.791	1064
B002774	ENSG00000056586	FSM	1064	B003456	15130	53.79	0.3703	0.2613	0.507	1064
B002791	ENSG00000081014	FSM	1062	B002936	4080	68.11	0.6808	0.0028	0.499	1062
B002873	ENSG00000124920	NIC	1054	B002873	6007	60.36	0.4715	0.2590	0.374	1054
B003013	ENSG00000091409	FSM	1042	B003836	12839	83.20	0.8541	0.4722	0.62	1042
B003018	ENSG00000176986	FSM	1042	B003129	7290	73.43	0.6583	0.5691	0.722	1042
B003056	ENSG00000102763	FSM	1039	B003056	3453	82.59	0.8720	0.3349	0.792	1039
B003063	ENSG00000204217	FSM	1038	B005815	7196	55.08	0.3699	0.2601	0.484	1038
B003139	ENSG00000113645	NIC	1032	B004207	10496	57.42	0.4109	0.0930	0.442	1032
B003157	ENSG00000133619	FSM	1030	B003157	304	39.91	0.0592	0.0301	0.327	1030
B003265	ENSG00000126562	FSM	1020	B003265	16488	54.23	0.3745	0.1637	0.433	1020
B003307	ENSG00000164741	FSM	1017	B003445	8065	61.81	0.4562	0.3038	0.596	1017
B003317	ENSG00000146263	NIC	1017	B003317	586	81.96	0.8299	0.3333	0.699	1017
B003338	ENSG00000110756	FSM	1015	B004000	1655	67.81	0.6473	0.1241	0.434	1015
B003354	ENSG00000115414	FSM	1014	B003354	2300	76.49	0.7742	0.3432	0.381	1014
B003361	ENSG00000105409	FSM	1013	B003591	19798	81.79	0.8865	0.1836	0.683	1013
B003367	ENSG00000068097	FSM	1013	B003404	1353	79.13	0.7690	0.5913	0.767	1013
B003490	ENSG00000111752	FSM	1004	B006024	8893	43.75	0.1315	0.0667	0.324	1004
B003514	ENSG00000105397	FSM	1002	B003514	9858	82.43	0.8283	0.5110	0.737	1002
B003529	ENSG00000154822	FSM	1001	B003939	13859	85.35	0.8921	0.5465	0.857	1001
B003540	ENSG00000180263	NIC	1000	B003540	3565	42.75	0.1310	0.1180	0.39	1000
B003585	ENSG00000143970	FSM	996	B003585	2582	47.78	0.2319	0.0351	0.319	996
B003594	ENSG00000133121	FSM	995	B003445	6445	61.28	0.4804	0.3015	0.591	995
B003597	ENSG00000153147	FSM	995	B003784	29297	72.95	0.6995	0.1226	0.546	995
B003602	ENSG00000205339	FSM	995	B006531	3568	87.47	0.8985	0.6784	0.744	995
B003641	ENSG00000138162	NIC	992	B004577	3906	51.22	0.2117	0.1885	0.399	992
B003645	ENSG00000103540	FSM	991	B003938	1804	50.13	0.2654	0.1403	0.341	991
B003655	ENSG00000204351	FSM	990	B003143	18284	75.35	0.6899	0.3465	0.649	990
B003662	ENSG00000080839	FSM	989	B002739	2849	69.10	0.6148	0.2932	0.685	989
B003675	ENSG00000164164	FSM	988	B003675	8093	47.86	0.2449	0.1711	0.431	988
B003720	ENSG00000116584	FSM	985	B005480	7377	66.45	0.5269	0.3279	0.5	985
B003793	ENSG00000132005	FSM	979	B005694	4184	56.35	0.4208	0.3238	0.486	979
B003824	ENSG00000197579	NIC	978	B003824	12741	45.77	0.1922	0.0603	0.372	978
B003860	ENSG00000167110	FSM	975	B004221	2103	71.00	0.6133	0.3600	0.273	975
B003873	ENSG00000107854	FSM	974	B002304	11270	86.34	0.8799	0.7074	0.412	974
B003933	ENSG00000068784	FSM	969	B004089	22078	72.74	0.7100	0.4241	0.679	969
B003951	ENSG00000072786	FSM	968	B007785	18309	73.24	0.6849	0.3833	0.573	968
B003967	ENSG00000198920	FSM	967	B004161	1027	55.03	0.3402	0.0951	0.332	967
B004021	ENSG00000162434	NIC	963	B004021	12934	86.11	0.8795	0.5981	0.771	963
B004027	ENSG00000184575	FSM	962	B004314	2401	90.78	0.9834	0.7017	0.77	962
B004032	ENSG00000138768	FSM	962	B004032	2612	81.95	0.8025	0.5405	0.682	962
B004129	ENSG00000147912	FSM	956	B006305	7503	72.85	0.6831	0.3933	0.677	956
B004182	ENSG00000083290	FSM	952	B003083	15740	55.14	0.3718	0.2374	0.367	952
