group	rank	gene	NIC_ID	NIC_mean_pLDDT	FSM_ID	FSM_mean_pLDDT	NIC_minus_FSM	absolute_difference
similar_scores	1	ENSG00000101843	B090388	97.32	B075166	97.24	0.08	0.08
similar_scores	2	ENSG00000147687	B060317	96.50	B056395	96.95	-0.45	0.45
similar_scores	18	ENSG00000112425	B090105	95.62	B085039	94.90	0.72	0.72
large_difference	5	ENSG00000177239	B036267	96.32	B013152	78.69	17.63	17.63
large_difference	6	ENSG00000115275	B052039	96.21	B057103	78.47	17.74	17.74
large_difference	8	ENSG00000070495	B052486	96.09	B057573	81.13	14.96	14.96
